From	To
T2BP	298
TAB2	HIPK2
TAB2	172
TAB2	173
TAB2	NLK
TAB2	RIPK1
TAB2	288
TAB2	298
281	TAB2
281	298
281	309
TFDP2	CDC25C
287	224
287	TGFB3
287	288
289	FAF1
289	125
290	65
TNFR1	29
TNFR1	30
TNFR1	94
TNFR1	143
TNFR1	173
TNFR1	NSMAF
TNFR1	229
TNFR1	RIPK1
TNFR1	274
TNFR1	298
TNFR2	62
TNFR2	173
TNFR2	RIPK1
TNFR2	274
TNFR2	298
294	57
294	NUP153
294	224
298	NUP153
298	WASL
302	12
302	14
302	65
302	170
302	172
302	RBX1
302	RIPK1
302	298
302	UBE2D1
303	30
303	111
304	BTRC
304	CBL
304	67
304	RBX1
304	STUB1
304	278
304	307
305	PFDN2
305	199
305	224
307	123
307	157
307	225
307	243
307	294
307	UBE2D1
307	UBE2E1
307	306
308	35
308	278
308	279
UXT	237
309	275
310	200
WASL	4
WASL	11
WASL	CRK
WASL	219
WASL	249
WASL	266
WASL	275
312	FZD7
313	4
313	34
313	CSK
313	66
313	FYN
313	LYN
313	155
313	219
313	SRC
YY1	183
314	RIPK1
314	275
314	306
315	229
315	RIPK1
